SPOT_SHIBUSDT,SHIB-USDT
SPOT_ICPUSDT,ICP-USDT
SPOT_ARUSDT,AR-USDT
SPOT_POLSUSDT,POLS-USDT
SPOT_MASKUSDT,MASK-USDT
SPOT_LPTUSDT,LPT-USDT
SPOT_ERNUSDT,ERN-USDT
SPOT_KLAYUSDT,KLAY-USDT
SPOT_PHAUSDT,PHA-USDT
SPOT_MLNUSDT,MLN-USDT
SPOT_CLVUSDT,CLV-USDT
SPOT_FLOWUSDT,FLOW-USDT
SPOT_MINAUSDT,MINA-USDT
SPOT_RAYUSDT,RAY-USDT
SPOT_GHSTUSDT,GHST-USDT
SPOT_WAXPUSDT,WAXP-USDT
SPOT_XECUSDT,XEC-USDT
SPOT_ELFUSDT,ELF-USDT
SPOT_DYDXUSDT,DYDX-USDT
SPOT_DYDXBTC,DYDX-BTC
SPOT_GALAUSDT,GALA-USDT
SPOT_ILVUSDT,ILV-USDT
SPOT_YGGUSDT,YGG-USDT
SPOT_FRONTUSDT,FRONT-USDT
SPOT_CVPUSDT,CVP-USDT
SPOT_AGLDUSDT,AGLD-USDT
SPOT_SOLETH,SOL-ETH
SPOT_AUCTIONUSDT,AUCTION-USDT
SPOT_MOVRUSDT,MOVR-USDT
SPOT_CITYUSDT,CITY-USDT
SPOT_ENSUSDT,ENS-USDT
SPOT_DOTETH,DOT-ETH
SPOT_KP3RUSDT,KP3R-USDT
SPOT_RNDRUSDT,RNDR-USDT
SPOT_ALCXUSDT,ALCX-USDT
SPOT_BICOUSDT,BICO-USDT
SPOT_FXSUSDT,FXS-USDT
SPOT_CVXUSDT,CVX-USDT
SPOT_PEOPLEUSDT,PEOPLE-USDT
SPOT_SPELLUSDT,SPELL-USDT
SPOT_JOEUSDT,JOE-USDT
SPOT_ATOMETH,ATOM-ETH
SPOT_NEARETH,NEAR-ETH
SPOT_ACHUSDT,ACH-USDT
SPOT_IMXUSDT,IMX-USDT
SPOT_GLMRUSDT,GLMR-USDT
SPOT_UNIETH,UNI-ETH
SPOT_CRVETH,CRV-ETH
SPOT_API3USDT,API3-USDT
SPOT_ACAUSDT,ACA-USDT
SPOT_XNOUSDT,XNO-USDT
SPOT_WOOUSDT,WOO-USDT
SPOT_TUSDT,T-USDT
SPOT_ASTRUSDT,ASTR-USDT
SPOT_GMTUSDT,GMT-USDT
SPOT_KDAUSDT,KDA-USDT
SPOT_APEUSDT,APE-USDT
SPOT_APEBTC,APE-BTC
SPOT_GALUSDT,GAL-USDT
SPOT_LDOUSDT,LDO-USDT
SPOT_OPUSDT,OP-USDT
SPOT_FILETH,FIL-ETH
SPOT_LUNCUSDT,LUNC-USDT
SPOT_GMXUSDT,GMX-USDT
SPOT_APTUSDT,APT-USDT
SPOT_MAGICUSDT,MAGIC-USDT
SPOT_RPLUSDT,RPL-USDT
SPOT_SSVUSDT,SSV-USDT
